Kimlik	HAKEDISKOD	MALZKAL	IMALATKAL	BİNA	BLOK	KAT	MAHAL/NOTLAR	MIKTAR	EN	BOY	YUKSEKLIK	PURS	BENZER
1	6	1		1	1	3		222450				1	1
5	6	2		1	2	3		19050				1	1
6	6	3		1	2	3	PATATESLER	43050				1	2
7	6	7		2	2	3	LAVABODAKİ		20	30	120	1	1
8	6	8		2	2	3			5	40	122	1	1
9	6	9		2	3	4		0				1	1
10	6	10		2	4	4		36				1	1
11	3	1		1	4	4	A322 NOL İRSALİYEDEN	4050				1	1
12	3	2		1	4	4		0				1	1
13	3	3		1	4	4		0				1	1
14	3	7		1	4	4		0				1	1
15	3	8		2	5	5		0				1	1
16	3	9		2	5	5		0				1	1
17	3	10		2	5	5		0				1	1
18	3		1	2	5	5		120				0,5	1
19	3		1	1	1	5	EKİM AYI ÇALIŞMASI	250				1	1
20	6		1	1	1	5	EKİM AYI ÇALIŞMASI	500				1	1
21	6		2	1	1	5		300				1	1
22	4		2	1	1	5	MART AYI KİRALAMA		20	30	250	0,3	1
